shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_4_1,50.40755081176758,30.40618324279785,120,
1_40_0,50.481693267822266,30.47780418395996,120,
1_40_1,50.5128173828125,30.493112564086914,120,
1_41_0,50.454925537109375,30.487733840942383,120,
1_41_1,50.46322250366211,30.5054931640625,120,
1_42_0,50.509220123291016,30.45738983154297,120,
1_42_1,50.48601531982422,30.47321319580078,120,
1_46_0,50.455604553222656,30.633241653442383,120,
1_46_1,50.425743103027344,30.654396057128906,120,
1_5_0,50.44622802734375,30.48610496520996,120,
1_5_1,50.42981719970703,30.387224197387695,120,
1_51_0,50.45883560180664,30.63523292541504,120,
1_51_1,50.41442108154297,30.66921043395996,120,
1_667_0,50.43635940551758,30.6483097076416,120,
1_667_1,50.44070053100586,30.66118812561035,120,
1_1_0,50.44747543334961,30.47263526916504,130,
1_1_1,50.43022537231445,30.388582229614258,130,
1_36_0,50.48926544189453,30.467601776123047,130,
1_36_1,50.50008010864258,30.47255516052246,130,
1_37_0,50.47940444946289,30.480703353881836,130,
1_37_1,50.52476119995117,30.375091552734375,130,
1_38_0,50.462799072265625,30.50688934326172,130,
1_38_1,50.430755615234375,30.41399383544922,130,
1_389_0,50.50018310546875,30.47133445739746,130,
1_389_1,50.52460861206055,30.37724494934082,130,
1_39_0,50.448543548583984,30.492786407470703,130,
1_39_1,50.430755615234375,30.41399383544922,130,
1_4_0,50.42856979370117,30.38544464111328,130,
1_4_1,50.407630920410156,30.4057674407959,130,
1_40_0,50.48424530029297,30.475086212158203,130,
1_40_1,50.511775970458984,30.493043899536133,130,
1_41_0,50.457374572753906,30.486608505249023,130,
1_41_1,50.463134765625,30.50436782836914,130,
1_42_0,50.50789260864258,30.45789909362793,130,
1_42_1,50.48926544189453,30.467601776123047,130,
1_46_0,50.45527648925781,30.633220672607422,130,
1_46_1,50.42902374267578,30.652706146240234,130,
1_5_0,50.4463005065918,30.48554801940918,130,
1_5_1,50.43021011352539,30.38867950439453,130,
1_51_0,50.457427978515625,30.63424301147461,130,
1_51_1,50.4179573059082,30.66366195678711,130,
1_667_0,50.439998626708984,30.65599250793457,130,
1_667_1,50.44020462036133,30.65581703186035,130,
1_1_0,50.445682525634766,30.462587356567383,140,
1_1_1,50.433746337890625,30.40226173400879,140,
1_36_0,50.49051284790039,30.465478897094727,140,
1_36_1,50.50018310546875,30.47133445739746,140,
1_37_0,50.48268508911133,30.47694206237793,140,
1_37_1,50.525203704833984,30.38377571105957,140,
1_38_0,50.46297073364258,30.506261825561523,140,
1_38_1,50.43287658691406,30.41253662109375,140,
1_389_0,50.50010299682617,30.468368530273438,140,
1_389_1,50.52532196044922,30.382057189941406,140,
1_39_0,50.45109558105469,30.489681243896484,140,
1_39_1,50.43287658691406,30.41253662109375,140,
1_4_0,50.42821502685547,30.385513305664062,140,
1_4_1,50.408050537109375,30.4034366607666,140,
1_40_0,50.48505401611328,30.474166870117188,140,
1_40_1,50.50785827636719,30.489465713500977,140,
1_41_0,50.45977783203125,30.483999252319336,140,
1_41_1,50.46281051635742,30.50304412841797,140,
1_42_0,50.50648498535156,30.458454132080078,140,
1_42_1,50.49051284790039,30.465478897094727,140,
1_46_0,50.45366287231445,30.63417625427246,140,
1_46_1,50.4312629699707,30.6512508392334,140,
1_5_0,50.446807861328125,30.482769012451172,140,
1_5_1,50.4312744140625,30.3928279876709,140,
1_51_0,50.45573043823242,30.63299560546875,140,
1_51_1,50.4211311340332,30.658254623413086,140,
1_667_0,50.44011306762695,30.657276153564453,140,
1_667_1,50.435455322265625,30.646188735961914,140,
1_1_0,50.44573211669922,30.460819244384766,150,
1_1_1,50.437320709228516,30.416471481323242,150,
1_36_0,50.49103927612305,30.46483039855957,150,
1_36_1,50.50010299682617,30.468368530273438,150,
1_37_0,50.48494338989258,30.47454261779785,150,
1_37_1,50.52516555786133,30.38712501525879,150,
1_38_0,50.46322250366211,30.5054931640625,150,
1_38_1,50.43369674682617,30.41199493408203,150,
1_389_0,50.49995803833008,30.46609115600586,150,
1_389_1,50.52601623535156,30.384775161743164,150,
